"","country","region","city","data_date","listings_url","calendar_url"
"1","the-netherlands","north-holland","amsterdam","2020-09-09","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-09-09/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-09-09/data/calendar.csv.gz"
"2","the-netherlands","north-holland","amsterdam","2020-08-18","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-08-18/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-08-18/data/calendar.csv.gz"
"3","the-netherlands","north-holland","amsterdam","2020-07-09","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-07-09/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-07-09/data/calendar.csv.gz"
"4","the-netherlands","north-holland","amsterdam","2020-06-08","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-06-08/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-06-08/data/calendar.csv.gz"
"5","the-netherlands","north-holland","amsterdam","2020-05-08","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-05-08/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-05-08/data/calendar.csv.gz"
"6","the-netherlands","north-holland","amsterdam","2020-04-16","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-04-16/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-04-16/data/calendar.csv.gz"
"7","the-netherlands","north-holland","amsterdam","2020-03-13","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-03-13/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-03-13/data/calendar.csv.gz"
"8","the-netherlands","north-holland","amsterdam","2020-02-14","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-02-14/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-02-14/data/calendar.csv.gz"
"9","the-netherlands","north-holland","amsterdam","2020-01-05","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-01-05/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2020-01-05/data/calendar.csv.gz"
"10","the-netherlands","north-holland","amsterdam","2019-12-07","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-12-07/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-12-07/data/calendar.csv.gz"
"11","the-netherlands","north-holland","amsterdam","2019-11-03","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-11-03/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-11-03/data/calendar.csv.gz"
"12","the-netherlands","north-holland","amsterdam","2019-10-15","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-10-15/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-10-15/data/calendar.csv.gz"
"13","the-netherlands","north-holland","amsterdam","2019-09-14","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-09-14/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-09-14/data/calendar.csv.gz"
"14","the-netherlands","north-holland","amsterdam","2019-08-08","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-08-08/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-08-08/data/calendar.csv.gz"
"15","the-netherlands","north-holland","amsterdam","2019-07-08","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-07-08/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-07-08/data/calendar.csv.gz"
"16","the-netherlands","north-holland","amsterdam","2019-06-04","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-06-04/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-06-04/data/calendar.csv.gz"
"17","the-netherlands","north-holland","amsterdam","2019-05-06","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-05-06/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-05-06/data/calendar.csv.gz"
"18","the-netherlands","north-holland","amsterdam","2019-04-08","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-04-08/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-04-08/data/calendar.csv.gz"
"19","the-netherlands","north-holland","amsterdam","2019-03-07","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-03-07/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-03-07/data/calendar.csv.gz"
"20","the-netherlands","north-holland","amsterdam","2019-02-04","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-02-04/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-02-04/data/calendar.csv.gz"
"21","the-netherlands","north-holland","amsterdam","2019-01-13","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-01-13/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2019-01-13/data/calendar.csv.gz"
"22","the-netherlands","north-holland","amsterdam","2018-12-06","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2018-12-06/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2018-12-06/data/calendar.csv.gz"
"23","the-netherlands","north-holland","amsterdam","2018-11-04","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2018-11-04/data/listings.csv.gz","http://data.insideairbnb.com/the-netherlands/north-holland/amsterdam/2018-11-04/data/calendar.csv.gz"
