"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","barcelona","2020-08-24",21974,"el Barri Gòtic",41.38077,2.17551,"Private room in apartment","Private room",2,1,1,"$80.00",3,90,0,80,2400
"2","barcelona","2020-08-24",23197,"el Besòs i el Maresme",41.41291,2.22063,"Entire apartment","Entire home/apt",6,3,5,"$200.00",3,300,30,NA,0
"3","barcelona","2020-08-24",25786,"la Vila de Gràcia",41.40145,2.15645,"Private room in apartment","Private room",2,1,1,"$41.00",1,730,24,42,252
"4","barcelona","2020-08-24",32711,"el Camp d'en Grassot i Gràcia Nova",41.40566,2.17015,"Entire apartment","Entire home/apt",6,2,3,"$102.86",2,31,0,139.833333333333,4195
"5","barcelona","2020-08-24",34241,"el Barri Gòtic",41.37916,2.17535,"Private room in apartment","Private room",2,1,1,"$70.00",4,120,30,NA,0
"6","barcelona","2020-08-24",34981,"el Barri Gòtic",41.37978,2.17623,"Entire apartment","Entire home/apt",9,4,6,"$180.00",4,365,30,NA,0
"7","barcelona","2020-08-24",35318,"el Barri Gòtic",41.38145,2.17544,"Private room in apartment","Private room",2,1,2,"$69.00",3,60,30,NA,0
"8","barcelona","2020-08-24",35379,"l'Antiga Esquerra de l'Eixample",41.39036,2.15274,"Private room in apartment","Private room",2,1,1,"$16.00",2,60,9,18.7619047619048,394
"9","barcelona","2020-08-24",35388,"l'Antiga Esquerra de l'Eixample",41.39065,2.15196,"Private room in apartment","Private room",1,1,1,"$14.00",2,60,7,16.5652173913043,381
"10","barcelona","2020-08-24",35390,"l'Antiga Esquerra de l'Eixample",41.39153,2.15125,"Private room in apartment","Private room",1,1,1,"$15.00",2,60,17,17.3846153846154,226
"11","barcelona","2020-08-24",35392,"l'Antiga Esquerra de l'Eixample",41.39082,2.15078,"Private room in apartment","Private room",2,1,1,"$27.29",2,60,9,21.6666666666667,455
"12","barcelona","2020-08-24",36763,"la Barceloneta",41.37906,2.19141,"Private room in apartment","Private room",1,1,1,"$34.00",2,65,29,33,33
"13","barcelona","2020-08-24",40983,"la Dreta de l'Eixample",41.39631,2.16832,"Entire loft","Entire home/apt",4,1,1,"$30.00",2,364,4,44.2692307692308,1151
"14","barcelona","2020-08-24",41952,"el Camp d'en Grassot i Gràcia Nova",41.40565,2.16932,"Entire apartment","Entire home/apt",6,2,4,"$110.00",3,365,30,NA,0
"15","barcelona","2020-08-24",46153,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,"Entire apartment","Entire home/apt",3,2,3,"$31.00",93,300,22,31,248
"16","barcelona","2020-08-24",49968,"el Camp d'en Grassot i Gràcia Nova",41.4057,2.17016,"Entire apartment","Entire home/apt",6,2,0,"$67.00",2,31,30,NA,0
"17","barcelona","2020-08-24",58512,"el Camp de l'Arpa del Clot",41.41129,2.18193,"Entire apartment","Entire home/apt",6,3,4,"$85.00",5,90,23,85,595
"18","barcelona","2020-08-24",61444,"la Dreta de l'Eixample",41.38901,2.16552,"Entire apartment","Entire home/apt",6,2,4,"$123.00",2,90,30,NA,0
"19","barcelona","2020-08-24",67065,"l'Antiga Esquerra de l'Eixample",41.39161,2.15089,"Entire apartment","Entire home/apt",7,4,7,"$101.00",1,27,0,104.666666666667,3140
"20","barcelona","2020-08-24",68547,"el Barri Gòtic",41.38072,2.17811,"Private room in apartment","Private room",2,1,2,"$49.00",2,730,30,NA,0
"21","barcelona","2020-08-24",70099,"el Raval",41.37828,2.1708,"Private room in bed and breakfast","Private room",2,1,1,"$52.00",1,365,15,51.6666666666667,775
"22","barcelona","2020-08-24",71520,"Vallcarca i els Penitents",41.41837,2.13419,"Entire apartment","Entire home/apt",9,3,5,"$207.00",5,28,28,195,390
"23","barcelona","2020-08-24",71553,"el Fort Pienc",41.3974,2.17682,"Entire apartment","Entire home/apt",2,1,1,"$80.00",2,1125,26,80,320
"24","barcelona","2020-08-24",71603,"la Dreta de l'Eixample",41.39038,2.17606,"Entire apartment","Entire home/apt",4,2,4,"$390.00",3,1125,30,NA,0
"25","barcelona","2020-08-24",71736,"el Raval",41.38321,2.16656,"Entire apartment","Entire home/apt",5,4,5,"$60.00",32,730,30,NA,0
"26","barcelona","2020-08-24",72436,"el Poblenou",41.39909,2.20733,"Entire serviced apartment","Entire home/apt",2,1,1,"$89.00",1,28,29,89,89
"27","barcelona","2020-08-24",72793,"el Raval",41.38248,2.16415,"Entire apartment","Entire home/apt",2,1,2,"$50.00",32,1000,30,NA,0
"28","barcelona","2020-08-24",72794,"el Raval",41.38294,2.16534,"Entire apartment","Entire home/apt",2,2,2,"$50.00",32,3000,30,NA,0
"29","barcelona","2020-08-24",73455,"el Raval",41.38422,2.16701,"Entire apartment","Entire home/apt",5,2,4,"$99.00",2,1125,6,108.625,2607
"30","barcelona","2020-08-24",73683,"el Camp d'en Grassot i Gràcia Nova",41.40554,2.17017,"Entire apartment","Entire home/apt",12,4,14,"$218.00",2,30,0,278.533333333333,8356
"31","barcelona","2020-08-24",73692,"la Dreta de l'Eixample",41.39108,2.16521,"Entire apartment","Entire home/apt",5,2,3,"$110.00",2,90,30,NA,0
"32","barcelona","2020-08-24",73693,"el Poble Sec",41.37163,2.16591,"Entire apartment","Entire home/apt",5,2,2,"$100.00",2,90,30,NA,0
"33","barcelona","2020-08-24",73700,"el Poble Sec",41.37335,2.16165,"Entire apartment","Entire home/apt",4,2,2,"$78.86",2,90,23,80,560
"34","barcelona","2020-08-24",75003,"la Sagrada Família",41.40399,2.17802,"Entire apartment","Entire home/apt",5,2,3,"$84.00",2,365,30,NA,0
"35","barcelona","2020-08-24",75411,"el Clot",41.40825,2.18729,"Entire apartment","Entire home/apt",6,3,6,"$115.00",3,330,0,115,3450
"36","barcelona","2020-08-24",80004,"el Poble Sec",41.37188,2.16656,"Entire apartment","Entire home/apt",5,3,3,"$150.00",1,1125,30,NA,0
"37","barcelona","2020-08-24",83283,"Sant Antoni",41.38227,2.16141,"Private room in apartment","Private room",2,1,0,"$40.00",3,365,29,40,40
"38","barcelona","2020-08-24",89756,"el Raval",41.37815,2.16894,"Entire apartment","Entire home/apt",9,3,8,"$240.00",6,1000,30,NA,0
"39","barcelona","2020-08-24",89776,"el Fort Pienc",41.39377,2.1795,"Entire apartment","Entire home/apt",4,1,2,"$121.00",3,365,26,120,480
"40","barcelona","2020-08-24",95719,"Sant Pere, Santa Caterina i la Ribera",41.3839,2.18011,"Private room in apartment","Private room",2,1,0,"$62.86",2,365,30,NA,0
"41","barcelona","2020-08-24",97529,"el Camp d'en Grassot i Gràcia Nova",41.40906,2.16539,"Entire condominium","Entire home/apt",2,1,1,"$40.00",32,1125,29,40,40
"42","barcelona","2020-08-24",100256,"la Barceloneta",41.37983,2.19249,"Entire apartment","Entire home/apt",3,1,2,"$57.00",32,365,2,67.1428571428571,1880
"43","barcelona","2020-08-24",104485,"l'Antiga Esquerra de l'Eixample",41.39119,2.15641,"Private room in apartment","Private room",2,1,1,"$22.00",2,90,22,22,176
"44","barcelona","2020-08-24",107437,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159,"Entire house","Entire home/apt",8,4,6,"$180.00",3,90,0,164.666666666667,4940
"45","barcelona","2020-08-24",109462,"el Camp d'en Grassot i Gràcia Nova",41.40313,2.166,"Entire apartment","Entire home/apt",4,1,2,"$84.00",2,365,24,82.3333333333333,494
"46","barcelona","2020-08-24",110041,"el Camp d'en Grassot i Gràcia Nova",41.40271,2.16646,"Entire apartment","Entire home/apt",4,1,2,"$79.00",2,365,29,79,79
"47","barcelona","2020-08-24",110098,"el Barri Gòtic",41.38126,2.1801,"Entire apartment","Entire home/apt",4,1,3,"$79.00",2,365,27,84,252
"48","barcelona","2020-08-24",112538,"la Sagrada Família",41.40653,2.1746,"Entire apartment","Entire home/apt",8,3,6,"$137.00",4,1125,26,161,644
"49","barcelona","2020-08-24",117010,"la Sagrada Família",41.40647,2.17457,"Entire apartment","Entire home/apt",8,3,5,"$137.00",2,28,30,NA,0
"50","barcelona","2020-08-24",118228,"la Sagrada Família",41.40653,2.1746,"Entire apartment","Entire home/apt",6,3,5,"$131.00",2,28,30,NA,0
"51","barcelona","2020-08-24",119546,"el Raval",41.37969,2.16532,"Private room in apartment","Private room",2,1,1,"$70.00",3,7,27,55,165
"52","barcelona","2020-08-24",128463,"Sants",41.37155,2.13664,"Private room in apartment","Private room",2,1,1,"$50.00",3,1125,29,50,50
"53","barcelona","2020-08-24",130227,"Diagonal Mar i el Front Marítim del Poblenou",41.40646,2.21282,"Private room in condominium","Private room",2,1,1,"$37.47",2,28,15,39.6666666666667,595
"54","barcelona","2020-08-24",135513,"el Poblenou",41.39841,2.20613,"Entire apartment","Entire home/apt",5,2,3,"$144.00",2,365,28,80,160
"55","barcelona","2020-08-24",136670,"Pedralbes",41.38846,2.12351,"Private room in apartment","Private room",2,1,1,"$55.00",30,1125,30,NA,0
"56","barcelona","2020-08-24",138055,"la Sagrada Família",41.40653,2.1746,"Entire apartment","Entire home/apt",6,3,5,"$129.00",3,28,30,NA,0
"57","barcelona","2020-08-24",142121,"el Barri Gòtic",41.38062,2.17465,"Entire loft","Entire home/apt",3,2,2,"$44.00",31,99,29,44,44
"58","barcelona","2020-08-24",144471,"Sant Antoni",41.38226,2.15898,"Private room in apartment","Private room",2,1,0,"$40.00",3,365,29,40,40
"59","barcelona","2020-08-24",144801,"Sant Pere, Santa Caterina i la Ribera",41.38516,2.17945,"Entire apartment","Entire home/apt",4,1,2,"$80.00",28,360,30,NA,0
"60","barcelona","2020-08-24",147275,"el Guinardó",41.42318,2.17501,"Private room in apartment","Private room",1,1,1,"$14.00",4,1125,1,14,406
"61","barcelona","2020-08-24",153376,"Sant Pere, Santa Caterina i la Ribera",41.38792,2.17768,"Private room in apartment","Private room",1,1,1,"$65.00",2,4,0,65,1950
"62","barcelona","2020-08-24",154281,"el Raval",41.37799,2.17281,"Private room in loft","Private room",2,1,1,"$50.00",3,360,28,50,100
"63","barcelona","2020-08-24",154437,"l'Antiga Esquerra de l'Eixample",41.39106,2.1509,"Private room in apartment","Private room",1,1,1,"$39.00",7,45,17,39,507
"64","barcelona","2020-08-24",155981,"la Nova Esquerra de l'Eixample",41.3841,2.14566,"Private room in apartment","Private room",1,1,1,"$40.00",2,365,30,NA,0
"65","barcelona","2020-08-24",158238,"les Corts",41.38416,2.13636,"Entire apartment","Entire home/apt",8,4,5,"$229.00",2,365,0,229,6870
"66","barcelona","2020-08-24",162091,"la Sagrada Família",41.4064,2.17449,"Entire apartment","Entire home/apt",8,3,6,"$137.00",2,28,30,NA,0
"67","barcelona","2020-08-24",163448,"Sant Pere, Santa Caterina i la Ribera",41.38768,2.17914,"Entire apartment","Entire home/apt",8,3,6,"$200.00",31,365,30,NA,0
"68","barcelona","2020-08-24",163536,"Sant Pere, Santa Caterina i la Ribera",41.38673,2.18387,"Entire apartment","Entire home/apt",10,5,7,"$264.00",120,365,26,262.5,1050
"69","barcelona","2020-08-24",171646,"el Clot",41.40696,2.18711,"Entire apartment","Entire home/apt",6,2,4,"$105.00",3,330,0,101.4,3042
