"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","bordeaux","2020-06-21",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"House","Entire home/apt",12,5,8,"$24.00",2,21,15,275,4125
"2","bordeaux","2020-06-21",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"House","Entire home/apt",6,3,3,"$125.00",4,15,29,180,180
"3","bordeaux","2020-06-21",218103,"Bgles",44.81418,-0.54842,"Apartment","Entire home/apt",4,1,1,"$110.00",2,21,27,100,300
"4","bordeaux","2020-06-21",222887,"Bordeaux Sud",44.83611,-0.5664,"Apartment","Entire home/apt",4,2,3,"$145.00",3,90,11,163,3097
"5","bordeaux","2020-06-21",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Apartment","Entire home/apt",3,1,2,"$135.00",3,90,28,143,286
"6","bordeaux","2020-06-21",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Apartment","Entire home/apt",6,2,4,"$155.00",3,90,28,160,320
"7","bordeaux","2020-06-21",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Apartment","Entire home/apt",3,0,1,"$79.00",1,1125,27,68.3333333333333,205
"8","bordeaux","2020-06-21",365993,"Bgles",44.81149,-0.55825,"Apartment","Entire home/apt",6,2,3,"$85.00",5,30,13,85,1445
"9","bordeaux","2020-06-21",400306,"La Bastide",44.8439,-0.55831,"Condominium","Entire home/apt",2,1,1,"$59.00",2,1125,0,62.7333333333333,1882
"10","bordeaux","2020-06-21",403245,"Bordeaux Sud",44.83385,-0.57033,"Apartment","Entire home/apt",3,1,2,"$59.00",2,31,0,85.6666666666667,2570
"11","bordeaux","2020-06-21",408270,"Bgles",44.81412,-0.54641,"Apartment","Entire home/apt",4,1,1,"$90.00",2,21,25,90,450
"12","bordeaux","2020-06-21",410267,"Bgles",44.81494,-0.54799,"Apartment","Entire home/apt",4,1,1,"$90.00",2,21,22,90,720
"13","bordeaux","2020-06-21",412475,"Bgles",44.81428,-0.54875,"Apartment","Entire home/apt",4,1,1,"$90.00",2,21,15,90,1350
"14","bordeaux","2020-06-21",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Apartment","Private room",2,1,1,"$45.00",2,1125,22,45.5,364
"15","bordeaux","2020-06-21",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Apartment","Private room",1,1,1,"$30.00",2,1125,22,30.5,244
"16","bordeaux","2020-06-21",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"House","Entire home/apt",5,4,4,"$110.00",2,1125,0,110,3300
"17","bordeaux","2020-06-21",457462,"Talence",44.80935,-0.59991,"Apartment","Entire home/apt",4,2,2,"$75.00",2,21,0,75,2250
"18","bordeaux","2020-06-21",457640,"Talence",44.80907,-0.60034,"Apartment","Entire home/apt",4,2,2,"$80.00",2,30,30,NA,0
"19","bordeaux","2020-06-21",458580,"Bordeaux Sud",44.83424,-0.57022,"Apartment","Entire home/apt",4,1,2,"$35.00",28,300,0,35,1050
"20","bordeaux","2020-06-21",478369,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82968,-0.59534,"House","Entire home/apt",7,4,5,"$114.00",5,15,0,114,3420
"21","bordeaux","2020-06-21",482102,"Le Bouscat",44.85446,-0.59562,"Townhouse","Entire home/apt",12,6,7,"$185.00",2,21,15,202.333333333333,3035
"22","bordeaux","2020-06-21",500193,"Bordeaux Sud",44.83118,-0.5628,"Apartment","Entire home/apt",4,2,2,"$100.00",1,14,15,97.3333333333333,1460
"23","bordeaux","2020-06-21",543460,"Saint Augustin - Tauzin - Alphonse Dupeux",44.82761,-0.59472,"Bed and breakfast","Private room",2,1,1,"$110.00",1,1125,0,115,3450
"24","bordeaux","2020-06-21",545440,"Chartrons - Grand Parc - Jardin Public",44.85657,-0.57796,"House","Entire home/apt",5,2,2,"$200.00",2,30,0,248,7440
"25","bordeaux","2020-06-21",548827,"Centre ville (Bordeaux)",44.83949,-0.57233,"Bed and breakfast","Private room",2,1,1,"$110.00",1,6,10,110,2200
"26","bordeaux","2020-06-21",557526,"Talence",44.81216,-0.59949,"Apartment","Entire home/apt",3,2,1,"$79.00",3,21,0,79,2370
"27","bordeaux","2020-06-21",558936,"Chartrons - Grand Parc - Jardin Public",44.85385,-0.57186,"Apartment","Entire home/apt",8,4,4,"$130.00",1,125,28,130,260
"28","bordeaux","2020-06-21",568013,"Bordeaux Sud",44.8337,-0.56805,"House","Entire home/apt",7,3,6,"$90.00",4,21,0,90,2700
"29","bordeaux","2020-06-21",582745,"Le Bouscat",44.86363,-0.60591,"House","Entire home/apt",8,3,5,"$150.00",2,1125,25,174,870
"30","bordeaux","2020-06-21",599263,"Centre ville (Bordeaux)",44.83828,-0.5762,"Apartment","Entire home/apt",4,2,2,"$120.00",2,15,30,NA,0
"31","bordeaux","2020-06-21",648539,"Bordeaux Sud",44.83103,-0.56652,"Apartment","Entire home/apt",4,1,1,"$29.00",30,1125,21,29,261
"32","bordeaux","2020-06-21",656926,"Bordeaux Sud",44.83421,-0.56205,"House","Private room",2,2,2,"$50.00",2,6,29,65,65
