"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","euskadi","2020-05-30",132068,"Donostia-San SebastiÃ¡n",43.3252,-1.97209,"Condominium","Entire home/apt",4,2,3,"$79.00",1,63,28,100,200
"2","euskadi","2020-05-30",142760,"Busturia",43.39062,-2.6947,"Apartment","Entire home/apt",2,1,1,"$91.00",5,730,30,NA,0
"3","euskadi","2020-05-30",223952,"Ibarrangelu",43.39426,-2.64648,"House","Entire home/apt",8,4,9,"$150.00",7,760,30,NA,0
"4","euskadi","2020-05-30",309802,"Donostia-San SebastiÃ¡n",43.31582,-2.00394,"Apartment","Entire home/apt",6,2,5,"$156.00",3,1125,22,175.375,1403
"5","euskadi","2020-05-30",309813,"Donostia-San SebastiÃ¡n",43.31478,-1.98734,"Apartment","Entire home/apt",8,3,5,"$180.00",31,124,28,190,380
"6","euskadi","2020-05-30",309828,"Donostia-San SebastiÃ¡n",43.31631,-1.98617,"Apartment","Entire home/apt",8,3,5,"$180.00",31,124,0,198.666666666667,5960
"7","euskadi","2020-05-30",309830,"Donostia-San SebastiÃ¡n",43.31679,-1.98624,"Apartment","Private room",10,4,7,"$250.00",3,124,28,282.5,565
"8","euskadi","2020-05-30",329695,"Plentzia",43.40585,-2.94824,"House","Entire home/apt",6,3,6,"$180.00",3,365,30,NA,0
"9","euskadi","2020-05-30",341691,"Bilbao",43.26317,-2.94752,"Apartment","Private room",2,1,1,"$60.00",2,90,27,60,180
"10","euskadi","2020-05-30",360571,"Donostia-San SebastiÃ¡n",43.30453,-1.97554,"Apartment","Entire home/apt",4,2,2,"$150.00",4,1125,30,NA,0
"11","euskadi","2020-05-30",376823,"Oiartzun",43.2971,-1.86289,"Villa","Entire home/apt",12,6,10,"$800.00",4,1125,25,800,4000
"12","euskadi","2020-05-30",386301,"Donostia-San SebastiÃ¡n",43.32412,-1.97071,"Apartment","Entire home/apt",4,2,0,"$100.00",2,280,22,128.75,1030
"13","euskadi","2020-05-30",386818,"Hondarribia",43.37335,-1.80619,"Guesthouse","Entire home/apt",1,0,1,"$9.00",1,1125,0,9,270
"14","euskadi","2020-05-30",393715,"Mutriku",43.3078,-2.38691,"Loft","Entire home/apt",3,2,2,"$70.00",2,1125,26,62.5,250
"15","euskadi","2020-05-30",404270,"Donostia-San SebastiÃ¡n",43.32442,-1.98384,"Hostel","Hotel room",1,1,1,"$80.00",7,90,0,80,2400
"16","euskadi","2020-05-30",417854,"Donostia-San SebastiÃ¡n",43.3053,-1.98,"Apartment","Private room",2,1,1,"$80.00",2,1125,29,80,80
"17","euskadi","2020-05-30",424487,"Gorliz",43.41362,-2.93662,"Loft","Entire home/apt",3,1,1,"$90.00",3,90,24,90,540
"18","euskadi","2020-05-30",429657,"Ibarrangelu",43.38659,-2.63097,"Apartment","Entire home/apt",3,2,2,"$120.00",2,30,20,90,900
"19","euskadi","2020-05-30",429887,"Donostia-San SebastiÃ¡n",43.32489,-1.98353,"Hostel","Private room",2,1,1,"$130.00",7,180,0,110,3300
"20","euskadi","2020-05-30",430475,"Donostia-San SebastiÃ¡n",43.31274,-2.00474,"Apartment","Entire home/apt",5,3,3,"$147.00",6,365,0,60,1800
"21","euskadi","2020-05-30",443362,"Donostia-San SebastiÃ¡n",43.32466,-1.98436,"Hostel","Private room",1,1,1,"$80.00",3,210,0,72.5,2175
"22","euskadi","2020-05-30",452464,"Durango",43.15336,-2.61773,"House","Private room",7,3,5,"$130.00",2,30,0,130,3900
"23","euskadi","2020-05-30",456366,"Bilbao",43.26258,-2.9433,"Apartment","Private room",2,1,1,"$95.00",2,180,12,95,1710
"24","euskadi","2020-05-30",456706,"Bilbao",43.26456,-2.94349,"Apartment","Private room",2,1,1,"$75.00",2,1125,9,77.8571428571429,1635
"25","euskadi","2020-05-30",457366,"Donostia-San SebastiÃ¡n",43.32305,-1.98257,"Hostel","Private room",3,1,3,"$150.00",7,60,0,129.333333333333,3880
"26","euskadi","2020-05-30",491403,"AbadiÃ±o",43.15173,-2.61799,"House","Private room",3,1,2,"$57.00",1,30,20,57,570
"27","euskadi","2020-05-30",492561,"Durango",43.15249,-2.61748,"House","Private room",5,2,4,"$93.00",2,30,21,93,837
"28","euskadi","2020-05-30",492633,"AbadiÃ±o",43.1538,-2.61728,"House","Private room",2,1,1,"$59.00",1,14,19,59,649
"29","euskadi","2020-05-30",512917,"Donostia-San SebastiÃ¡n",43.31542,-2.00173,"Apartment","Entire home/apt",4,2,0,"$160.00",2,30,3,160,4320
