"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","girona","2020-04-30",14551,"Girona",41.9965,2.83646,"Apartment","Private room",2,1,1,"$46.00",1,1125,29,46,46
"2","girona","2020-04-30",35801,"Quart",41.95395,2.89703,"Bed and breakfast","Private room",5,2,4,"$90.00",1,180,29,90,90
"3","girona","2020-04-30",41342,"El Port de la Selva",42.34655,3.20463,"Apartment","Entire home/apt",4,1,2,"$120.00",7,21,28,120,240
"4","girona","2020-04-30",45398,"Begur",41.95568,3.20892,"House","Entire home/apt",6,3,4,"$80.00",1,730,26,98.75,395
"5","girona","2020-04-30",45400,"Begur",41.95577,3.21096,"Apartment","Entire home/apt",4,1,2,"$65.00",1,730,27,80,240
"6","girona","2020-04-30",48764,"Torroella de Fluvià",42.17605,3.03974,"House","Entire home/apt",8,4,5,"$120.00",7,95,0,120,3600
"7","girona","2020-04-30",93343,"L'Escala",42.10405,3.14936,"House","Entire home/apt",7,3,5,"$99.00",2,365,28,157,314
"8","girona","2020-04-30",101580,"Lloret de Mar",41.70656,2.89015,"Villa","Entire home/apt",16,4,12,"$890.00",4,30,25,650,3250
"9","girona","2020-04-30",106704,"Llagostera",41.83631,2.937,"Farm stay","Entire home/apt",12,4,12,"$220.00",2,365,24,320,1920
"10","girona","2020-04-30",121666,"Torroella de Montgrí",42.00877,3.18954,"House","Entire home/apt",4,2,4,"$67.00",15,30,0,69.5333333333333,2086
"11","girona","2020-04-30",121962,"Llagostera",41.84104,2.94811,"Farm stay","Entire home/apt",16,7,16,"$490.00",2,1125,24,490,2940
"12","girona","2020-04-30",122273,"Llagostera",41.84102,2.95118,"Farm stay","Entire home/apt",4,1,4,"$110.00",2,1125,30,NA,0
"13","girona","2020-04-30",122371,"Pals",41.97454,3.17576,"House","Entire home/apt",6,3,3,"$290.00",7,47,0,188,5640
"14","girona","2020-04-30",130159,"Blanes",41.6657,2.78242,"Apartment","Entire home/apt",5,2,3,"$92.00",6,28,28,92,184
"15","girona","2020-04-30",131374,"Riudarenes",41.82069,2.71764,"House","Entire home/apt",8,4,5,"$188.00",2,30,28,190,380
"16","girona","2020-04-30",154339,"Lloret de Mar",41.7403,2.81844,"House","Entire home/apt",6,3,3,"$95.00",3,730,5,95,2375
"17","girona","2020-04-30",157327,"Forallac",41.94531,3.11247,"Villa","Entire home/apt",8,4,8,"$600.00",7,90,27,600,1800
"18","girona","2020-04-30",168832,"Saus",42.12516,2.93539,"House","Entire home/apt",9,5,9,"$65.00",5,31,0,65,1950
"19","girona","2020-04-30",179220,"Calonge",41.84794,3.10483,"Apartment","Entire home/apt",6,3,6,"$74.00",3,365,27,79,237
"20","girona","2020-04-30",199994,"Cadaqués",42.28834,3.28159,"Apartment","Entire home/apt",4,3,0,"$55.00",2,365,30,NA,0
"21","girona","2020-04-30",212386,"Esponellà",42.16954,2.78309,"Apartment","Entire home/apt",5,3,3,"$130.00",2,28,29,130,130
"22","girona","2020-04-30",236739,"Lloret de Mar",41.69322,2.82221,"Apartment","Entire home/apt",5,2,3,"$73.00",1,1125,0,76.6666666666667,2300
"23","girona","2020-04-30",254100,"Ventalló",42.14737,3.02763,"House","Entire home/apt",5,3,4,"$80.00",7,365,29,80,80
"24","girona","2020-04-30",262941,"Palafrugell",41.91841,3.21439,"Apartment","Entire home/apt",12,6,9,"$350.00",4,500,28,350,700
"25","girona","2020-04-30",265647,"Capmany",42.37355,2.92054,"Apartment","Entire home/apt",6,3,5,"$175.00",7,14,11,146.052631578947,2775
"26","girona","2020-04-30",273037,"Palafrugell",41.91128,3.15674,"House","Entire home/apt",3,1,1,"$80.00",2,30,30,NA,0
"27","girona","2020-04-30",280968,"Palamós",41.85922,3.14773,"Apartment","Entire home/apt",4,1,4,"$60.00",2,30,28,50,100
"28","girona","2020-04-30",285455,"Lloret de Mar",41.70803,2.86996,"Apartment","Entire home/apt",9,2,1,"$99.00",3,365,0,99,2970
"29","girona","2020-04-30",285968,"Girona",41.98623,2.82472,"Loft","Entire home/apt",4,1,1,"$55.00",3,1125,21,59.1111111111111,532
"30","girona","2020-04-30",296563,"Calonge",41.84711,3.10563,"Apartment","Entire home/apt",8,3,6,"$74.00",3,365,27,79,237
"31","girona","2020-04-30",304363,"Girona",41.99117,2.82355,"Apartment","Entire home/apt",5,2,4,"$80.00",2,180,30,NA,0
"32","girona","2020-04-30",323402,"Lloret de Mar",41.71255,2.85571,"House","Entire home/apt",16,9,17,"$850.00",2,21,27,490,1470
"33","girona","2020-04-30",323679,"Castelló d'Empúries",42.24698,3.1256,"Apartment","Entire home/apt",4,2,3,"$55.00",14,30,0,55,1650
"34","girona","2020-04-30",336151,"Girona",41.97304,2.83103,"Apartment","Entire home/apt",4,2,2,"$75.00",2,1125,2,75,2100
"35","girona","2020-04-30",336886,"Lloret de Mar",41.71972,2.87587,"Apartment","Entire home/apt",4,3,3,"$100.00",5,1125,29,100,100
"36","girona","2020-04-30",342502,"Viladrau",41.84793,2.39315,"Apartment","Entire home/apt",6,3,5,"$95.00",7,1125,23,95,665
"37","girona","2020-04-30",349360,"Girona",41.98876,2.83008,"Apartment","Entire home/apt",2,1,2,"$71.00",3,21,15,71,1065
"38","girona","2020-04-30",359056,"Torroella de Montgrí",42.07944,3.11781,"House","Entire home/apt",7,3,5,"$150.00",2,15,25,150,750
"39","girona","2020-04-30",378198,"Tossa de Mar",41.71809,2.92824,"House","Entire home/apt",9,4,6,"$120.00",2,1125,30,NA,0
"40","girona","2020-04-30",384326,"Cassà de la Selva",41.88737,2.88054,"Bed and breakfast","Private room",3,1,2,"$47.00",1,1125,8,47,1034
"41","girona","2020-04-30",398377,"Begur",41.95506,3.20566,"House","Private room",5,2,7,"$55.00",1,30,0,65,1950
"42","girona","2020-04-30",398498,"Roses",42.24432,3.1997,"Apartment","Entire home/apt",4,2,4,"$193.00",7,60,23,193,1351
"43","girona","2020-04-30",401885,"Cadaqués",42.28988,3.28225,"House","Entire home/apt",10,5,10,"$260.00",4,1125,30,NA,0
"44","girona","2020-04-30",406276,"Cadaqués",42.28955,3.2779,"Apartment","Entire home/apt",3,1,2,"$80.00",3,1125,30,NA,0
"45","girona","2020-04-30",406360,"Cadaqués",42.28822,3.2822,"Loft","Entire home/apt",2,1,2,"$63.00",2,1125,30,NA,0
