"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","malaga","2020-04-30",96033,"Este",36.72031,-4.35627,"Apartment","Entire home/apt",3,2,2,"$49.00",3,90,26,35,140
"2","malaga","2020-04-30",131725,"Carretera de Cadiz",36.70658,-4.43705,"Apartment","Entire home/apt",3,2,3,"$37.00",4,180,22,40.25,322
"3","malaga","2020-04-30",155696,"Centro",36.72723,-4.4072,"Condominium","Entire home/apt",5,3,5,"$180.00",3,365,29,180,180
"4","malaga","2020-04-30",159650,"Ciudad Jardin",36.74604,-4.41747,"Apartment","Entire home/apt",6,3,6,"$35.00",7,30,24,58,348
"5","malaga","2020-04-30",166473,"Este",36.71934,-4.35942,"Apartment","Private room",3,1,4,"$19.00",5,365,30,NA,0
"6","malaga","2020-04-30",212845,"Este",36.72606,-4.36541,"Apartment","Shared room",2,1,2,"$35.00",2,90,0,39,1170
"7","malaga","2020-04-30",229511,"Este",36.79087,-4.38198,"House","Entire home/apt",12,4,11,"$170.00",4,365,29,170,170
"8","malaga","2020-04-30",244088,"Centro",36.7242,-4.42226,"Apartment","Entire home/apt",6,2,3,"$77.00",2,1125,29,99,99
"9","malaga","2020-04-30",277066,"Este",36.72294,-4.37724,"Apartment","Entire home/apt",10,5,9,"$125.00",3,365,29,125,125
"10","malaga","2020-04-30",340024,"Centro",36.72813,-4.41422,"Apartment","Entire home/apt",2,1,2,"$49.00",3,60,16,48.5714285714286,680
"11","malaga","2020-04-30",358541,"Centro",36.72338,-4.42208,"Apartment","Entire home/apt",2,1,1,"$50.00",2,366,22,53.75,430
"12","malaga","2020-04-30",412798,"Teatinos-Universidad",36.72369,-4.46125,"Apartment","Entire home/apt",6,4,6,"$115.00",5,1124,0,115,3450
"13","malaga","2020-04-30",421077,"Centro",36.72117,-4.42526,"Apartment","Entire home/apt",2,1,1,"$48.00",1,1125,30,NA,0
"14","malaga","2020-04-30",422922,"Centro",36.72283,-4.42571,"Apartment","Entire home/apt",4,2,2,"$45.00",1,365,30,NA,0
"15","malaga","2020-04-30",461508,"Centro",36.72292,-4.42331,"Apartment","Entire home/apt",4,1,3,"$55.00",2,1125,30,NA,0
"16","malaga","2020-04-30",505688,"Centro",36.72526,-4.41821,"Loft","Entire home/apt",4,2,2,"$65.00",3,1125,30,NA,0
