"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","menorca","2020-06-30",44085,"Es Mercadal",40.00946,4.20026,"Villa","Entire home/apt",6,3,5,"$99.00",5,550,27,376.666666666667,1130
"2","menorca","2020-06-30",102558,"Ciutadella de Menorca",39.94273,3.96278,"Apartment","Entire home/apt",5,2,5,"$50.00",7,30,21,120,1080
"3","menorca","2020-06-30",148138,"Ciutadella de Menorca",40.00222,3.79919,"Apartment","Entire home/apt",6,2,3,"$49.00",1,365,18,145,1740
"4","menorca","2020-06-30",245722,"Alaior",39.89677,4.14912,"Villa","Private room",8,3,5,"$200.00",3,365,15,262,3930
"5","menorca","2020-06-30",285865,"Ciutadella de Menorca",40.00088,3.79955,"Apartment","Entire home/apt",4,1,1,"$69.00",4,1125,10,88,1760
"6","menorca","2020-06-30",294398,"Alaior",39.89089,4.11607,"House","Entire home/apt",11,6,9,"$450.00",3,365,30,NA,0
"7","menorca","2020-06-30",295705,"Alaior",39.89183,4.11577,"Cottage","Entire home/apt",16,11,0,"$1,250.00",2,360,25,1700,8500
"8","menorca","2020-06-30",325641,"Mahón",39.8363,4.19367,"House","Entire home/apt",6,3,6,"$189.00",3,30,27,311,933
"9","menorca","2020-06-30",334376,"Ciutadella de Menorca",40.00506,3.83711,"House","Entire home/apt",4,3,3,"$70.00",3,1125,29,70,70
"10","menorca","2020-06-30",357026,"Alaior",39.90397,4.07033,"Apartment","Entire home/apt",4,2,4,"$75.00",5,1125,4,124.230769230769,3230
"11","menorca","2020-06-30",358378,"Alaior",39.90178,4.07674,"Apartment","Entire home/apt",5,2,3,"$40.00",5,60,7,100.04347826087,2301
"12","menorca","2020-06-30",366358,"Ciutadella de Menorca",40.03523,3.96514,"House","Entire home/apt",14,7,7,"$495.00",3,1125,21,995,8955
"13","menorca","2020-06-30",366636,"Alaior",39.90258,4.07567,"Apartment","Entire home/apt",4,2,4,"$100.00",5,365,4,100,2600
"14","menorca","2020-06-30",370676,"Ciutadella de Menorca",40.00286,3.8374,"Townhouse","Entire home/apt",8,4,0,"$400.00",2,1125,17,400,5200
"15","menorca","2020-06-30",372756,"Alaior",39.87428,4.13118,"House","Entire home/apt",6,3,4,"$500.00",10,365,30,NA,0
"16","menorca","2020-06-30",382144,"Ciutadella de Menorca",40.02229,3.94258,"Cabin","Entire home/apt",2,1,1,"$60.00",3,1125,25,130,650
"17","menorca","2020-06-30",386067,"Alaior",39.90435,4.07296,"Condominium","Entire home/apt",5,3,5,"$70.00",7,1125,22,130,1040
"18","menorca","2020-06-30",394135,"Ciutadella de Menorca",40.01474,3.84365,"Cottage","Entire home/apt",4,2,3,"$160.00",7,30,6,283.333333333333,6800
"19","menorca","2020-06-30",403664,"Ciutadella de Menorca",39.99328,3.8312,"House","Entire home/apt",4,2,0,"$142.00",3,1125,23,190,1330
"20","menorca","2020-06-30",421030,"Ciutadella de Menorca",40.00662,3.84296,"Loft","Entire home/apt",2,1,1,"$25.00",3,1125,30,NA,0
"21","menorca","2020-06-30",434190,"Ciutadella de Menorca",39.9236,3.82653,"Apartment","Entire home/apt",2,1,0,"$60.00",4,60,18,120,1440
"22","menorca","2020-06-30",459265,"Es Mercadal",40.01391,4.19865,"House","Entire home/apt",6,3,5,"$99.00",5,300,0,404.433333333333,12133
"23","menorca","2020-06-30",476724,"Ciutadella de Menorca",39.9433,3.96275,"Apartment","Entire home/apt",4,2,4,"$45.00",5,180,25,143.6,718
