"","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","sevilla","2020-04-30",32347,"San Vicente",37.39468,-6.00183,"Apartment","Entire home/apt",4,2,2,"$99.00",2,120,26,99,396
"2","sevilla","2020-04-30",49287,"Feria",37.39855,-5.99365,"Apartment","Entire home/apt",3,1,1,"$49.00",3,365,27,100,300
"3","sevilla","2020-04-30",94187,"San Bartolomé",37.39012,-5.98676,"House","Private room",2,1,0,"$55.00",2,365,29,90,90
"4","sevilla","2020-04-30",108236,"San Vicente",37.39645,-5.99887,"Apartment","Entire home/apt",6,2,2,"$58.00",2,360,0,182.466666666667,5474
"5","sevilla","2020-04-30",108568,"Feria",37.39939,-5.99237,"Apartment","Entire home/apt",6,2,4,"$65.00",3,365,16,90.3571428571429,1265
"6","sevilla","2020-04-30",116703,"Arenal",37.3868,-5.99666,"Apartment","Entire home/apt",4,1,2,"$65.00",3,365,20,87.5,875
"7","sevilla","2020-04-30",117278,"Arenal",37.38595,-5.997,"Apartment","Entire home/apt",4,1,3,"$60.00",3,365,19,85.4545454545455,940
"8","sevilla","2020-04-30",120619,"Santa Cruz",37.38814,-5.99399,"Apartment","Private room",2,1,2,"$35.00",1,30,30,NA,0
"9","sevilla","2020-04-30",131987,"San Vicente",37.39455,-6.00094,"Apartment","Entire home/apt",4,1,2,"$69.00",4,365,30,NA,0
"10","sevilla","2020-04-30",144918,"Triana Casco Antiguo",37.38222,-5.99989,"Apartment","Entire home/apt",4,1,2,"$46.00",2,90,25,64.6,323
"11","sevilla","2020-04-30",159596,"Arenal",37.38456,-5.99583,"Apartment","Entire home/apt",4,2,2,"$100.00",64,330,28,120,240
"12","sevilla","2020-04-30",179629,"Alfalfa",37.38948,-5.99238,"Apartment","Entire home/apt",5,3,4,"$115.00",3,365,30,NA,0
"13","sevilla","2020-04-30",185356,"Cruz Roja, Capuchinos",37.4011,-5.98396,"Apartment","Entire home/apt",7,3,7,"$110.00",3,365,4,106.153846153846,2760
"14","sevilla","2020-04-30",201209,"Las Avenidas",37.41096,-5.98477,"Apartment","Entire home/apt",8,3,5,"$60.00",2,365,28,95,190
"15","sevilla","2020-04-30",207702,"Museo",37.38945,-5.99889,"Apartment","Entire home/apt",2,1,2,"$77.00",3,30,0,318.666666666667,9560
"16","sevilla","2020-04-30",217440,"Santa Cruz",37.3885,-5.99344,"Apartment","Private room",2,1,2,"$35.00",1,7,26,31.25,125
"17","sevilla","2020-04-30",219958,"Heliópolis",37.35385,-5.98488,"Guest suite","Entire home/apt",9,3,6,"$120.00",2,365,27,140,420
"18","sevilla","2020-04-30",227905,"San Vicente",37.3948,-6.00121,"Apartment","Private room",1,1,1,"$40.00",1,30,29,40,40
"19","sevilla","2020-04-30",229403,"Feria",37.39913,-5.99088,"Apartment","Entire home/apt",2,1,1,"$52.00",1,365,30,NA,0
